student_id,institution,batch,semester,year,term,time_label,time_index,subject,score
110001,College_1,1,1,1,1,Year 1 Sem 1,1,Subject_1,47
110001,College_1,1,1,1,1,Year 1 Sem 1,1,Subject_2,81
110001,College_1,1,1,1,1,Year 1 Sem 1,1,Subject_3,55
110001,College_1,1,1,1,1,Year 1 Sem 1,1,Subject_4,87
110001,College_1,1,1,1,1,Year 1 Sem 1,1,Subject_5,93
110001,College_1,1,1,1,1,Year 1 Sem 1,1,Subject_6,56
110001,College_1,1,2,1,2,Year 1 Sem 2,2,Subject_1,41
110001,College_1,1,2,1,2,Year 1 Sem 2,2,Subject_2,88
110001,College_1,1,2,1,2,Year 1 Sem 2,2,Subject_3,85
110001,College_1,1,2,1,2,Year 1 Sem 2,2,Subject_4,63
110001,College_1,1,2,1,2,Year 1 Sem 2,2,Subject_5,71
110001,College_1,1,2,1,2,Year 1 Sem 2,2,Subject_6,44
110001,College_1,1,3,2,1,Year 2 Sem 1,3,Subject_1,44
110001,College_1,1,3,2,1,Year 2 Sem 1,3,Subject_2,100
110001,College_1,1,3,2,1,Year 2 Sem 1,3,Subject_3,86
110001,College_1,1,3,2,1,Year 2 Sem 1,3,Subject_4,44
110001,College_1,1,3,2,1,Year 2 Sem 1,3,Subject_5,100
110001,College_1,1,3,2,1,Year 2 Sem 1,3,Subject_6,97
110001,College_1,1,4,2,2,Year 2 Sem 2,4,Subject_1,74
110001,College_1,1,4,2,2,Year 2 Sem 2,4,Subject_2,40
110001,College_1,1,4,2,2,Year 2 Sem 2,4,Subject_3,71
110001,College_1,1,4,2,2,Year 2 Sem 2,4,Subject_4,51
110001,College_1,1,4,2,2,Year 2 Sem 2,4,Subject_5,59
110001,College_1,1,4,2,2,Year 2 Sem 2,4,Subject_6,70
110001,College_1,1,5,3,1,Year 3 Sem 1,5,Subject_1,44
110001,College_1,1,5,3,1,Year 3 Sem 1,5,Subject_2,77
110001,College_1,1,5,3,1,Year 3 Sem 1,5,Subject_3,77
110001,College_1,1,5,3,1,Year 3 Sem 1,5,Subject_4,98
110001,College_1,1,5,3,1,Year 3 Sem 1,5,Subject_5,41
110001,College_1,1,5,3,1,Year 3 Sem 1,5,Subject_6,97
110001,College_1,1,6,3,2,Year 3 Sem 2,6,Subject_1,50
110001,College_1,1,6,3,2,Year 3 Sem 2,6,Subject_2,66
110001,College_1,1,6,3,2,Year 3 Sem 2,6,Subject_3,79
110001,College_1,1,6,3,2,Year 3 Sem 2,6,Subject_4,52
110001,College_1,1,6,3,2,Year 3 Sem 2,6,Subject_5,92
110001,College_1,1,6,3,2,Year 3 Sem 2,6,Subject_6,65
110001,College_1,1,7,4,1,Year 4 Sem 1,7,Subject_1,46
110001,College_1,1,7,4,1,Year 4 Sem 1,7,Subject_2,40
110001,College_1,1,7,4,1,Year 4 Sem 1,7,Subject_3,84
110001,College_1,1,7,4,1,Year 4 Sem 1,7,Subject_4,59
110001,College_1,1,7,4,1,Year 4 Sem 1,7,Subject_5,49
110001,College_1,1,7,4,1,Year 4 Sem 1,7,Subject_6,41
110001,College_1,1,8,4,2,Year 4 Sem 2,8,Subject_1,57
110001,College_1,1,8,4,2,Year 4 Sem 2,8,Subject_2,77
110001,College_1,1,8,4,2,Year 4 Sem 2,8,Subject_3,40
110001,College_1,1,8,4,2,Year 4 Sem 2,8,Subject_4,71
110001,College_1,1,8,4,2,Year 4 Sem 2,8,Subject_5,89
110001,College_1,1,8,4,2,Year 4 Sem 2,8,Subject_6,86
110002,College_1,1,1,1,1,Year 1 Sem 1,1,Subject_1,41
110002,College_1,1,1,1,1,Year 1 Sem 1,1,Subject_2,49
110002,College_1,1,1,1,1,Year 1 Sem 1,1,Subject_3,70
110002,College_1,1,1,1,1,Year 1 Sem 1,1,Subject_4,63
110002,College_1,1,1,1,1,Year 1 Sem 1,1,Subject_5,73
110002,College_1,1,1,1,1,Year 1 Sem 1,1,Subject_6,54
110002,College_1,1,2,1,2,Year 1 Sem 2,2,Subject_1,77
110002,College_1,1,2,1,2,Year 1 Sem 2,2,Subject_2,94
110002,College_1,1,2,1,2,Year 1 Sem 2,2,Subject_3,40
110002,College_1,1,2,1,2,Year 1 Sem 2,2,Subject_4,94
110002,College_1,1,2,1,2,Year 1 Sem 2,2,Subject_5,65
110002,College_1,1,2,1,2,Year 1 Sem 2,2,Subject_6,53
110002,College_1,1,3,2,1,Year 2 Sem 1,3,Subject_1,49
110002,College_1,1,3,2,1,Year 2 Sem 1,3,Subject_2,89
110002,College_1,1,3,2,1,Year 2 Sem 1,3,Subject_3,80
110002,College_1,1,3,2,1,Year 2 Sem 1,3,Subject_4,77
110002,College_1,1,3,2,1,Year 2 Sem 1,3,Subject_5,64
110002,College_1,1,3,2,1,Year 2 Sem 1,3,Subject_6,98
110002,College_1,1,4,2,2,Year 2 Sem 2,4,Subject_1,82
110002,College_1,1,4,2,2,Year 2 Sem 2,4,Subject_2,54
110002,College_1,1,4,2,2,Year 2 Sem 2,4,Subject_3,92
110002,College_1,1,4,2,2,Year 2 Sem 2,4,Subject_4,54
110002,College_1,1,4,2,2,Year 2 Sem 2,4,Subject_5,56
110002,College_1,1,4,2,2,Year 2 Sem 2,4,Subject_6,62
110002,College_1,1,5,3,1,Year 3 Sem 1,5,Subject_1,53
110002,College_1,1,5,3,1,Year 3 Sem 1,5,Subject_2,76
110002,College_1,1,5,3,1,Year 3 Sem 1,5,Subject_3,75
110002,College_1,1,5,3,1,Year 3 Sem 1,5,Subject_4,84
110002,College_1,1,5,3,1,Year 3 Sem 1,5,Subject_5,93
110002,College_1,1,5,3,1,Year 3 Sem 1,5,Subject_6,92
110002,College_1,1,6,3,2,Year 3 Sem 2,6,Subject_1,69
110002,College_1,1,6,3,2,Year 3 Sem 2,6,Subject_2,75
110002,College_1,1,6,3,2,Year 3 Sem 2,6,Subject_3,76
110002,College_1,1,6,3,2,Year 3 Sem 2,6,Subject_4,64
110002,College_1,1,6,3,2,Year 3 Sem 2,6,Subject_5,57
110002,College_1,1,6,3,2,Year 3 Sem 2,6,Subject_6,80
110002,College_1,1,7,4,1,Year 4 Sem 1,7,Subject_1,79
110002,College_1,1,7,4,1,Year 4 Sem 1,7,Subject_2,95
110002,College_1,1,7,4,1,Year 4 Sem 1,7,Subject_3,51
110002,College_1,1,7,4,1,Year 4 Sem 1,7,Subject_4,55
110002,College_1,1,7,4,1,Year 4 Sem 1,7,Subject_5,87
110002,College_1,1,7,4,1,Year 4 Sem 1,7,Subject_6,78
110002,College_1,1,8,4,2,Year 4 Sem 2,8,Subject_1,63
110002,College_1,1,8,4,2,Year 4 Sem 2,8,Subject_2,68
110002,College_1,1,8,4,2,Year 4 Sem 2,8,Subject_3,42
110002,College_1,1,8,4,2,Year 4 Sem 2,8,Subject_4,88
110002,College_1,1,8,4,2,Year 4 Sem 2,8,Subject_5,60
110002,College_1,1,8,4,2,Year 4 Sem 2,8,Subject_6,67
110003,College_1,1,1,1,1,Year 1 Sem 1,1,Subject_1,60
110003,College_1,1,1,1,1,Year 1 Sem 1,1,Subject_2,59
110003,College_1,1,1,1,1,Year 1 Sem 1,1,Subject_3,88
110003,College_1,1,1,1,1,Year 1 Sem 1,1,Subject_4,95
110003,College_1,1,1,1,1,Year 1 Sem 1,1,Subject_5,74
110003,College_1,1,1,1,1,Year 1 Sem 1,1,Subject_6,80
110003,College_1,1,2,1,2,Year 1 Sem 2,2,Subject_1,47
110003,College_1,1,2,1,2,Year 1 Sem 2,2,Subject_2,74
110003,College_1,1,2,1,2,Year 1 Sem 2,2,Subject_3,60
110003,College_1,1,2,1,2,Year 1 Sem 2,2,Subject_4,64
110003,College_1,1,2,1,2,Year 1 Sem 2,2,Subject_5,67
110003,College_1,1,2,1,2,Year 1 Sem 2,2,Subject_6,70
110003,College_1,1,3,2,1,Year 2 Sem 1,3,Subject_1,55
110003,College_1,1,3,2,1,Year 2 Sem 1,3,Subject_2,51
110003,College_1,1,3,2,1,Year 2 Sem 1,3,Subject_3,79
110003,College_1,1,3,2,1,Year 2 Sem 1,3,Subject_4,81
110003,College_1,1,3,2,1,Year 2 Sem 1,3,Subject_5,56
110003,College_1,1,3,2,1,Year 2 Sem 1,3,Subject_6,46
110003,College_1,1,4,2,2,Year 2 Sem 2,4,Subject_1,73
110003,College_1,1,4,2,2,Year 2 Sem 2,4,Subject_2,95
110003,College_1,1,4,2,2,Year 2 Sem 2,4,Subject_3,94
110003,College_1,1,4,2,2,Year 2 Sem 2,4,Subject_4,67
110003,College_1,1,4,2,2,Year 2 Sem 2,4,Subject_5,78
110003,College_1,1,4,2,2,Year 2 Sem 2,4,Subject_6,93
110003,College_1,1,5,3,1,Year 3 Sem 1,5,Subject_1,95
110003,College_1,1,5,3,1,Year 3 Sem 1,5,Subject_2,82
110003,College_1,1,5,3,1,Year 3 Sem 1,5,Subject_3,53
110003,College_1,1,5,3,1,Year 3 Sem 1,5,Subject_4,91
110003,College_1,1,5,3,1,Year 3 Sem 1,5,Subject_5,40
110003,College_1,1,5,3,1,Year 3 Sem 1,5,Subject_6,92
110003,College_1,1,6,3,2,Year 3 Sem 2,6,Subject_1,81
110003,College_1,1,6,3,2,Year 3 Sem 2,6,Subject_2,56
